"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-11","0.24","67","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-12","0.00","69","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-13","0.00","71","76","65"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-14","0.06","66","77","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-15","0.06","71","78","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-16","0.00","74","87",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-17",,"65","87","62"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-18","0.09","66","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-19","0.00","71","79","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-20",,"74",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-21",,"74","85","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-22","0.02","71","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-23","0.00","69","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-24","0.28","66","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-25","0.00","69","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-26","0.03","72","78","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-27","0.00","77","86",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-28",,"74",,"70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-29",,"68","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-11-30",,"70","76","63"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-01",,"74","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-02","0.02","71","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-03","0.00","72","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-04","0.57","73","79","70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-05","0.00","71","79",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-06","0.09","67","79",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-07","0.50","65","75","61"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-08","0.00","68","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-09","0.08","72","79","65"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-10","0.00","73","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-11",,"73","85","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-12","0.03","69","85","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-13","0.13","71","80","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-14","0.01","71","80","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-15","0.17","67","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-16","0.00","66",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-17","0.46","73","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-18","0.01","78",,"72"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-19","0.00","74","80","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-21",,"73","80","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-22",,"76","84","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-23",,"78","84","72"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-24","0.07","76","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-25","0.00","73","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-26",,"70","79","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-27",,"75","81","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-28",,"76","86",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-29",,"77","86","70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-30",,"73","79","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-12-31",,"73","80","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-01",,"78","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-02",,"81","92",
